Location,Status,Time,ID,TempCelsius,Description,Attendence,StageName,Source,Target,DateTime,Winner,HomeTeamGoals,HomeTeamPenalties,AwayTeamGoals,AwayTeamPenalties,HomeTeamEvents,AwayteamEvents
Saransk,Mordovia Arena,completed,full-time,300331550,27,Sunny,40842,First stage,Colombia,Japan,2018-06-19T12:00:00Z,Japan,1,0,2,0,red-card - substitution-out - substitution-in - goal - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - yellow-card -  - ,goal-penalty,substitution-out - substitution-in - goal - substitution-out - substitution-in - substitution-out - substitution-in
Moscow,Spartak Stadium,completed,full-time,300331545,27,Cloudy,44190,First stage,Poland,Senegal,2018-06-19T15:00:00Z,Senegal,1,0,2,0,yellow-card - goal-own - goal-own - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - goal -  - ,yellow-card,goal - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - substitution-out
St. Petersburg,Saint Petersburg Stadium,completed,full-time,300331495,15,Cloudy,64468,First stage,Russia,Egypt,2018-06-19T18:00:00Z,Russia,3,0,1,0,goal - goal - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in -  -  - ,goal-own,yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out
Moscow,Luzhniki Stadium,completed,full-time,300331511,20,Partly Cloudy,78011,First stage,Portugal,Morocco,2018-06-20T12:00:00Z,Portugal,1,0,0,0,goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card -  -  -  - ,yellow-card,substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out
Rostov-On-Don,Rostov Arena,completed,full-time,300331530,32,Sunny,42678,First stage,Uruguay,Saudi Arabia,2018-06-20T15:00:00Z,Uruguay,1,0,0,0,goal - substitution-out - substitution-out - substitution-in - substitution-in - substitution-out - substitution-in -  -  -  -  - ,substitution-out,substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  - 
Kazan,Kazan Arena,completed,full-time,300331496,18,Clear Night,42718,First stage,Iran,Spain,2018-06-20T18:00:00Z,Spain,0,0,1,0,substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - yellow-card -  -  -  - ,goal,substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - 
Samara,Samara Arena,completed,full-time,300331518,24,Sunny,40727,First stage,Denmark,Australia,2018-06-21T12:00:00Z,Draw,1,0,1,0,goal - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card -  -  -  -  - ,goal-penalty,substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - 
Ekaterinburg,Ekaterinburg Arena,completed,full-time,300331527,12,Cloudy,32789,First stage,France,Peru,2018-06-21T15:00:00Z,France,1,0,0,0,yellow-card - goal - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in -  -  - ,yellow-card,substitution-out - substitution-out - substitution-in - substitution-in - yellow-card - yellow-card - substitution-out
Nizhny Novgorod,Nizhny Novgorod Stadium,completed,full-time,300331513,17,Clear Night,43319,First stage,Argentina,Croatia,2018-06-21T18:00:00Z,Croatia,0,0,3,0,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - yellow-card -  -  - ,yellow-card,goal - substitution-out - substitution-in - yellow-card - yellow-card - yellow-card - goal
St. Petersburg,Saint Petersburg Stadium,completed,full-time,300331540,19,Cloudy,64468,First stage,Brazil,Costa Rica,2018-06-22T12:00:00Z,Brazil,2,0,0,0,substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - yellow-card - substitution-out - goal - substitution-in - goal -  - ,substitution-out,substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - 
